City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,plettenberg bay,-34.0527,23.3716,21.81,77,100,0.91,ZA,1706917710
300,el jadid,33.2549,-8.506,14.04,85,3,1.98,MA,1706917710
301,flying fish cove,-10.4217,105.6791,25.82,88,40,1.54,CX,1706917710
302,hammerfest,70.6634,23.6821,-7.75,93,0,0.51,NO,1706917710
303,narasannapeta,18.4167,84.05,21.75,86,82,0.87,IN,1706917711
304,keflavik,64.0049,-22.5624,-1.05,69,75,16.98,IS,1706917711
305,lelystad,52.5083,5.475,10.61,90,100,9.83,NL,1706917527
306,manaure,11.7751,-72.4445,26.12,81,94,6.77,CO,1706917711
307,belokurikha,51.9959,84.9896,-11.1,97,100,1.56,RU,1706917712
308,touros,-5.1989,-35.4608,27.47,76,17,6.38,BR,1706917712
309,margaret river,-33.95,115.0667,18.48,84,95,5.5,AU,1706917590
310,vadso,70.0744,29.7487,-4.91,86,100,5.66,NO,1706917712
311,boden,65.8252,21.6886,0.0,98,100,3.04,SE,1706917712
312,kone,-21.0595,164.8658,31.72,66,100,2.85,NC,1706917713
313,mayahi,13.9553,7.6712,17.61,22,11,6.0,NE,1706917713
314,yeppoon,-23.1333,150.7333,29.88,62,0,3.12,AU,1706917713
315,magadan,59.5667,150.8,-16.93,75,100,2.71,RU,1706917714
316,maceio,-9.6658,-35.7353,26.69,89,0,4.12,BR,1706917668
317,zhangjiakou shi xuanhua qu,40.6103,115.0447,-7.86,80,83,1.53,CN,1706917714
318,at-bashi,41.1702,75.8106,-19.42,64,2,1.67,KG,1706917714
319,cecil hills,-33.89,150.8511,25.79,66,78,1.96,AU,1706917714
320,tofol,5.3248,163.0078,28.88,79,75,3.09,FM,1706917715
321,luderitz,-26.6481,15.1594,18.86,97,68,2.82,NA,1706917715
322,shahrud,36.4182,54.9763,-2.89,83,100,0.54,IR,1706917715
323,douentza,14.9951,-2.9517,20.98,17,99,2.34,ML,1706917715
324,mejit,10.2753,170.8646,26.45,85,75,10.48,MH,1706917716
325,xinyuan,37.3,99.0,-11.76,96,100,0.15,CN,1706917716
326,acarau,-2.8856,-40.12,27.29,83,42,5.45,BR,1706917602
327,kattivakkam,13.2167,80.3167,25.05,75,100,1.6,IN,1706917716
328,laojunmiao,39.8333,97.7333,-10.41,92,100,1.86,CN,1706917717
329,mabaruma,8.2,-59.7833,24.4,74,92,2.75,GY,1706917717
330,andergrove,-21.0833,149.1833,33.14,66,73,0.78,AU,1706917717
331,khandyga,62.6667,135.6,-40.39,100,94,0.9,RU,1706917717
332,tshikapa,-6.4167,20.8,20.71,96,100,1.17,CD,1706917718
333,kailua-kona,19.6406,-155.9956,25.98,87,100,10.8,US,1706917718
334,chui,-33.6971,-53.4616,21.44,82,2,5.44,UY,1706917534
335,santa ana de yacuma,-13.75,-65.4333,28.97,79,75,0.0,BO,1706917718
336,bel ombre,-4.6167,55.4167,27.91,78,40,2.57,SC,1706917719
337,bazpur,29.15,79.1167,8.45,46,0,2.39,IN,1706917719
338,svetlyy,54.675,20.1347,6.03,88,100,10.67,RU,1706917719
339,taoudenni,22.6783,-3.9836,18.5,17,93,5.92,ML,1706917719
340,dehloran,32.6941,47.2679,8.68,61,19,0.97,IR,1706917719
341,hotan,37.0997,79.9269,-4.16,74,84,2.2,CN,1706917720
342,kingston,17.997,-76.7936,26.53,79,40,5.66,JM,1706917514
343,remire-montjoly,4.9167,-52.2667,25.02,88,0,0.51,GF,1706917720
344,shalya,57.2471,58.7298,-15.56,97,88,2.59,RU,1706917720
345,stavern,59.0,10.0333,11.16,68,19,14.14,NO,1706917721
346,prince george,53.9166,-122.753,9.03,66,100,6.17,CA,1706917721
347,piranhas,-16.4269,-51.8222,22.82,89,100,1.92,BR,1706917721
348,kerikeri,-35.2268,173.9474,24.39,69,54,1.34,NZ,1706917721
349,barah,13.7,30.3667,15.4,17,29,5.36,SD,1706917721
350,sant lluis,39.8526,4.2594,9.22,93,0,3.09,ES,1706917722
351,forster,-32.1667,152.5167,24.6,67,87,3.2,AU,1706917607
352,klaksvik,62.2266,-6.589,3.51,75,53,19.27,FO,1706917722
353,waupaca,44.358,-89.086,1.56,82,0,0.0,US,1706917722
354,cestos city,5.46,-9.5828,27.09,88,31,2.93,LR,1706917723
355,wajir,1.7471,40.0573,26.59,56,93,6.71,KE,1706917723
356,rio gallegos,-51.6226,-69.2181,10.03,93,40,7.2,AR,1706917723
357,chuguyevka,44.1653,133.8633,-17.83,90,48,0.64,RU,1706917723
358,vila franca do campo,37.7167,-25.4333,18.27,99,23,3.96,PT,1706917723
359,folkston,30.8305,-82.0098,15.88,56,34,1.54,US,1706917724
